review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,source,under_token_limit,predicted_sentiment
Air Bagan,airline,Jack Peterson,2012-01-03,Ground service is terrible compared to in the air Manual checkin process with no computers This airline seems to be the only one to have a lounge in the domestic terminal in Yangon Airconditioned and friendly associates offering a cheese croissant No bathroom inside so that was a drag People in Lotus class got a private van to the plane which was nice compared to cramming onto a bus Onboard the flight was pretty good The front of the plane is much quieter compared to the back Their inflight magazine was pretty decent and the english grammatically correct Even on short flights they gave you food On my YGNMDY flight which was about minutes they served a full breakfast Seats were pretty comfortable on par with United A first class seats I dont really see the need for inflight entertainment on such short flights,9.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Prague,airport,A Edwards,2023-07-02,My flight had been delayed so I arrived later at the airport however checkin had closed as checkin times had not been amended The security team were really helpful in scanning my bike box and ensuring it got to the gate to be loaded on the plane The team were very friendly and supportive with a great result Thanks,10.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
QantasLink,airline,T Maddern,2025-01-27,I have flown several legs with Qantaslink over the past months The Q has a more comfortable seat than the new seats in Qantas Boeing and soon to be Airbus s apart from their newest aircraft VHA which has seats so hard that a wooden bench would be more comfortable Ground Service Im pretty disappointed that you cant select your seats until hour before you leave for us less desired Red FF or no FF customers and all the seats up the front are blocked off for Qantas preferred customers Baggage drop and collection has been efficient on all flights where I have checked my luggage On board cabin crew do their jobs and the pilots are friendly Most delayed departures have ended in on time or early arrivals Food they may as not bother I dont consider tiny cent sized corn chips with some sauces a meal or even a snack I think Qantas and Qantaslink need to do alot better here One bonus is that unlike Rex you can purchase a lounge pass with your flight to allow you to relax have some food or drinks and get away from the crowds before our flights out of capital cities Lounge passes unless youre a Qantas Club member or Gold FF and higher cost Boarding disembarking When they dont use those ramps which are great for people with mobility issues disembarking is pretty efficient but when the ramps are used it can take up to minutes for them to put the ramp onto the aircraft The buses that take passengers to and from remore stands are a safety hazard if you have mobility or balance issues then sit in a seat as the drivers seem to be very heavy on the brakes,7.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Langkawi,airport,C Tomlin,2008-06-26,Lovely airport and great shops for an airport of this size Paying a the counter for taxis removes the touts that descend on you in other places Food options are limited but then who would want to spend too long checking in too early and getting hungry when on such a lovely island,4.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
TACV Cabo Verde Airlines,airline,Georgios Vrontos,2024-01-29,Unprofessional but aircraft is new and clean They cancelled my flight replaced with one with stopover and to change it for a flight on the same day took me a lot of emails to do it New flight was on Lisbon to Sal via Praia they issued tickets to Lisbon to Praia then they corrected it and then my reservation was appearing on a different date Finally after a month of exchanging emails they got it right On their site there is web checkin but is not working They want physical checkin to make sure you preregistered to enter the country and paid euro to do it They have often delays but our flight was on time because aircraft arrived to Lisbon on time Plane BM was new and clean front rows have great legroom Crew was friendly There was no IFE but inflight service was good and sandwich was tasty,5.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Firefly,airline,C Han,2025-03-21,Ive flown Firefly a number of times on intraSabah routes Kota Kinabalu Sandakan and Kota Kinabalu Tawau and Ive never had any issues with them This flight was no different One day before the flight it was delayed by minutes I was informed of this delay via email and SMS The queue at the checkin counter in Kota Kinabalu was quite long but aside from that everything else went smoothly The flight departed and landed on time and the cabin was clean and comfortable passengers were given salted peanuts cookies and a bottle of water At Tawau the aeroplane was parked at a jet bridge Baggage claim went faster than it usually does in Kota Kinabalu I was very satisfied with my experience and will for my future trips,9.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Viva Air,airline,W Gelmer,2022-06-26,VIP Boarding is a scam VIP Seats are a scam Too many flight cancellations without warning Every question I ask the response is I dont know Uncomfortable seats Always super late and they lie about being on time I will stick to USbased airlines from now on This is the last time I fly VivaAir,1.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Nice,airport,Judith Burnham,2024-06-22,Worst Airport in the world arrived to check in then security on baggage Then Passport machine thought great all good Walked through Duty Free then a mile long queue to get through to B gate BA is B gate Poor shops nobody could shop or eat unless you had got their hours early This queue apparently is normal and is called the new fast track what a joke One person in a box checking passports again Run to B hundreds of people standing there no way could you board in Groups just a free for all Again with one woman at the gate before you got on the coach to the plane still coaching you out to the plane She was checking everyones passport again Why havent they upgraded this system by now and built satellite gates off the main airport Not going back there,3.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Tigerair Taiwan,airline,Marco Zimara,2015-08-21,My jewel among low cost airlines Courteous efficient and highly safety oriented cabin crew Very enjoyable flying experience thru out Every time the washroom had been used the crew checked it for cleanliness Great public announcements,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Pittsburgh,airport,Vineet Bapat,2006-03-18,Agree with all the positive comments only in transit at Pittsburgh International recently and found it to be a very pleasnt experience due in large part to the variety of shops and restaurants An uncrowded spacious layout adds to the comfort level Also agree with a previous comment regarding the downside of this airport being the near monopoly of US Airways a greater presence by competing carriers would be a real plus,0.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Richmond,airport,Tim Buntin,2012-02-23,My experiences have always been pleasant Security lines are extremely short and there is a lot of open space Checking in is never a hasslewe have been able to pass by the checkin desk in minutes or less on the worst of days Bathrooms are clean and theres always a cafe or news store open Delta seems to have the largest concentration of flights at the airport most of them being on their regional affiliates running under Delta Connection Overall the airport is very good clean and friendly,9.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Koh Samui,airport,5 reviewsS Jackson,2017-09-22,Cute little airport everything functions as it should No big lines its nice and clean and organized It was very easy getting into a shuttle after landing and getting to the hotel a great price too Im always a fan of getting to a new place and not having a chaotic mess of people trying to rip you off on transportation that was definitely not the case in Ko Samui,10.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Horizon Air,airline,B Davey,2010-11-10,Great employees service schedules but I have stopped flying with Horizon because they are now using Turbo Prop planes Q Its slower has more noise and vibration and most of all they cannot fly at altitudes where the ride is smooth This is compared to the full size jets that Southwest flies on the same routes as Horizon I used to have the credit card had Frequent flyer status and earned oodles of miles Those days are gone,4.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Philippine Airlines,airline,24 reviewsC Balsen,2025-02-02,Morning flight on PR from Daraga to Manila I have international connection in a separate booking booking but check in agent made it sure my luggage was checked through to my final destination which was so much appreciated as it saved me time and effort at Manila Airport Flight was smooth and on time Ticket price was reasonable,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Bournemouth,airport,S Pinchbeck,2024-09-29,I would like to say a huge thank to Yasmin who went to great lengths to find us a new flight the same day but from Bristol airport flight missed just Start of holiday delayed by hours only her professional and helpful support was greatly appreciated Thank you again,7.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Bassaka Air,airline,Michael Little,2016-05-25,Flew Phnom Penh to Siem Reap with Bassaka Air As I knew nothing about this airline I was a bit apprehensive but there was no need to be Checkin was fast and friendly Boarding was by bus and once on board the courteous cabin crew made us feel very welcome The plane was definitely old but very clean and our exit row seats had plenty of legroom Other seats looked a bit cramped but the flight was short Surprisingly a quick drink was served during the minute flight which operated minutes early Overall a pleasant experience The only negative was that the Fasten Seat Belt signs in the cabin were not working,7.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Charlotte,airport,52 reviewsMahmud Noormohamed,2024-11-02,This is a large airport that is undergoing runway expansion which is very visible on takeoff and landing For a midmorning flight the C concourse was very but not very crowded Seating at the gates can be a premium however we had no difficulty finding seating The connecting hall has all kinds of restaurants both fast food and sit down Airport WiFi is easy to connect and fast The bathrooms are impeccable There is an attendant on duty who is constantly cleaning the bathrooms after every use The attendant greets passengers saying welcome to the cleanest bathrooms in CLT Kudos to Airport management,8.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Hainan Airlines,airline,E Gan,2024-10-28,My budget airline fare turned out to be a complete surprise with full service and a fairly new A plane The service friendliness and cleanliness are no less than those of Singapore Airlines,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Palm Springs,airport,N Prestage,2008-06-02,PSP is a great little airport The s style terminal is fairly well designed but with the advent of security screening areas its a bit harder to negotiate Rental cars are right outside the door from the baggage carousels The weather is seldom a problem so flights stay pretty close to their schedules Parking is reasonably priced and convenient to the terminal,4.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Air India1437 Reviews,airline,D Harsah,2025-04-06,Booking Mostly smooth except could not select seats and when selected the selection would not be saved Checkin Got reminder and was easy to conduct online checkin except no boarding pass as the document verification is not online Boarding Chaotic as boarding was not by zones but first come first serve So lot of traffic jams in the isles and many people sitting in seats they were not assigned to Broken seats with stained covers and strange smells Handrests chipped seatbacks cracked Enough legroom Inflight entertainment Many screens and controls not working broken Wireless entertainment worked smoothly but no clear directions on how to access it Inflight meals Very basic many drink choices eg gin and tonic not available Deplaning Long wait before people could get off not sure if it was the ground staff or the plane Baggage checkin and collection Smooth Got ontime notifications about baggage being loaded on different planes along the route Collection was also easy,1.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Sichuan Airlines,airline,Dominik Gerhart,2020-02-04,We booked the flight because it was rather cheap on ctrip hours before departure my wife got a message that my flight from Changsha to Chengdu was cancelled and we should call the airline company Due to Chinese New Year and the Coronavirus it was pretty hard to contact anybody so we decided to take the car to the airport At the airport the ticket desk was unable to change my ticket Sichuan Airlines was unable to change my ticket so we had to call ctrip After nearly hours we got the schedule change and I was able to get an earlier flight Would have wished the airlines had offered me the schedule change by themselves Service on the flight ChangshaChengdu was nonexistent I am not sure if that was due to turbulence or to the virus but it was just a twohours flight and I had brought some food of my own In Chengdu I had to get my luggage and wait for hours to check it in again fortunately there is a good lounge for transit passengers at Chengdu Airport At pm the Sichuan Airlines counters got really busy as there were many flights departing It was really crowded but service was quite quick I was pretty surprised when the flight to Rome got cancelled maybe due to personnel shortage because of the virus My gutfeeling says the flights to Prague and to Rome were pretty empty so they cancelled one flight Passangers to Italy got rebooked to our flight and even that one was not full Seats were a bit narrow and my earphones did not work but I was so tired takeoff at am that I did not need any inflight entertainment Luckily there was no foodservice at the start so passangers were able to sleep The flightattendants handed out bottled water and snacks when I awoke I found snacks and water on the vacant seat next to me Very thoughtful hours before landing they served breakfast It was not a lot we did not even get trays It was Chinese food and I liked it but for Europeans who cannot eat spicy food the choice was not good I am used to spicy food but even I considered the breakfast to be quite spicy No drinks were offered for breakfast Luckily I always try to get a seat near the galley so I could get hot water during the flight for my tea Allinall Sichuan Airlines was quite cheap the aircraft semiclean and inflightentertainment choices were okay If you are not too tall and do not need to many amenities I can recommend this airline Worst flight I ever had to China but still reasonably comfortable,7.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Cusco,airport,C Goodman,2016-04-05,Cusco Airport is another wonderfully crowded and poorly designed airfield in Peru ie Lima Chiclayo Byzantine brutalist concrete architecture aside this airport is by far the worst designed for providing any kind of logical flow for a singlerunway airport serving a large metropolitan area It would seem that nobody in government has looked at what can be done with the cramped space and volume of passengers to try and make a more hospitable clean and userfriendly facility Unfortunately this airport will remain the sole thoroughfare for all international Machu Picchu travelers for the foreseeable future Maybe Peru can step up to the plate and make some major changes to this facility and take a field trip to Quito and check out their new airport which is very nice,2.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Albuquerque,airport,41 reviewsW Jackson,2022-04-19,ABQ is a nice concept but one that needs some improvements For starters If you have TSA PreCheck here youre golden Security is an efficient and friendly process If you dont have PreCheck then the service at least for a small airport can be quite noncommunicative abrasive and slow The puebloinspired architecture and interior design of the airport render it one of the most beautiful small airports in the USA and the postsecurity viewing area of the runway and mountains is the sort of thing that more airports in this country need However its not always easy to enjoy the design and the views when the tile and carpet flooring and seating throughout the airport are dirty and for a lack of better words dilapidated and outdated Speaking of seating there really isnt enough of it in my opinion The signage directing you to amenities services and locations throughout the airport is helpful but also outdated The dining and shopping options are fine for a small airport so no real complaints Some people complain about the rental car facility being separate from the terminal and requiring a shuttle bus but honestly the bus runs frequently and the ride is pretty short Everything is easily accessible from I and downtown Albuquerque With a little modernization and polishing ABQ has the potential be as good as new again,5.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
London City,airport,Ashley Dickson,2019-11-15,Avoid at peak times security is a mess Gone are the days of the minute check in and smooth easy journey This used to be my go to airport due to the ease of transit Such a shame they have added so much flight capacity and not matched it with security,3.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Centrair Nagoya,airport,19 reviewsDoug Dumpa,2018-09-29,The check in was smooth Signs in English are sufficient to direct the passengers The ambiance is great and its facilities are enough to give comfort to its passengers,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Thessaloniki,airport,N Ganapoulos,2021-09-23,The airport is much better than before after the construction of the new terminal and the renovation of the old one Much cleaner more shops better signage etc However the passenger experience is affected by the lack of jet bridges and the use of buses for going to and from the aircraft The buses are hot in the summer and cold in winter and they are probably unsafe during the pandemic If jet bridges cannot be added then passengers should be allowed to walk to and from the aircraft with buses used only during poor weather The external spaces also need some greening up and better maintenance,4.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Spirit Airlines,airline,16 reviewsN Meares,2025-04-03,vIve flown with Spirit several times and also contacted their customer service center in the past to cancel a flight Spirit can vary wildly in terms of cancellations delays timeliness and staff attitudes If using a ratio two experiences to every one have been overwhelming positive But the remaining one experience has royally sucked Still I take my chances with Spirit because theyve come to treat me more respectfully as a customer than most other US carriers pound for pound It helps that I understand the concept of ultrabudget airlines having flown them around the world and that I treat airline staff with courtesy and politeness This most recent trip from Orlando to Louisville was mostly positive friendly airline staff on ground and friendly though not particularly attentive in air they only came down the aisle once to collect trash Checkin online was easy though it helped that I wasnt checking a bag The flight took off and arrived early The immediate seat was clean enough but the seat back pocket and tray table were a bit nasty They tout their WiFi as being the fastest of any US airline though I havent tried it But I did manage to use their unpaid WiFi connection to track the flight route to Louisville on my phone so that was cool In all Spirit as great as long as you keep a good attitude and dont have any real expectations Thats the point of budget airlines right And just hope you dont get delayed by eight hours as I did once with Spirit years ago,6.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
AirAsia India,airline,Sirajudeen Jawahar ali,2023-07-03,Would like to give big thumbs up to boarding crew Ms Noor at Tiruchirappalli Airport We are four family flying from TrichyIndia to Singapore Boarding process went very smooth with her providing detailed explanation before keep luggage what can bring and what cannot She is quite knowledgeable and inform the passenger upfront to complete the boarding process smooth and fast,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Leeds Bradford,airport,Robin Bramhall,2023-11-02,I dont know what all the fuss was about Bad reviews about security dirty airport unfriendly staff no seating I experienced none of that In view of the negative reviews we arrived hours before take off and were through security in five minutes Very cheerful efficient and friendly staff Bought some items at duty free and the lady there was extremely pleasant and helpful Plenty of seating Good food and drink offers and both the airport and toilets were very clean Boarding process straightforward and stressless On return our plane landed about minutes behind schedule This unfortunately coincided with other flights landing at the same time so passport control was very busy but it only took about minutes to get through The staff there were smiling at I understand why passengers complain but its also useful to get positive reviews sometimes I hope my next experience of Leeds Bradford will be as good as this one,9.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Kinshasa,airport,2 reviewsMichael Powell,2024-03-21,Arrival was a very good experience as the new airport layout is a great improvement Departure was problematic I have always used Brussels Airlines which allows you to check in a dedicated facility in the city This time I was with Kenya Airlines and the check in process was chaotic with only one small kiosk and many people with no idea of a queue trying to check in Once through into the departure lounge things improved greatly and the business class lounge was a revelation comfortable air conditioned and well appointed,6.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Milwaukee,airport,Kevin Milner,2015-07-26,Big enough to serve all of your needs yet small enough and easy enough to get in and out of What a contrast when compared to Kansas City and Atlanta where my journey originated They have a childrens play area great local restaurants beers coffee etc It is about the same airfare to fly into Milwaukee often times as it is to fly into Chicago with a lot less hassle,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Air India,airline,D Harsah,2025-04-06,Booking Mostly smooth except could not select seats and when selected the selection would not be saved Checkin Got reminder and was easy to conduct online checkin except no boarding pass as the document verification is not online Boarding Chaotic as boarding was not by zones but first come first serve So lot of traffic jams in the isles and many people sitting in seats they were not assigned to Broken seats with stained covers and strange smells Handrests chipped seatbacks cracked Enough legroom Inflight entertainment Many screens and controls not working broken Wireless entertainment worked smoothly but no clear directions on how to access it Inflight meals Very basic many drink choices eg gin and tonic not available Deplaning Long wait before people could get off not sure if it was the ground staff or the plane Baggage checkin and collection Smooth Got ontime notifications about baggage being loaded on different planes along the route Collection was also easy,1.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Iberia,airline,Javier Bacallado,2024-11-12,MadridRome return over the weekend Both flights departed and arrived on time Boarding priority worked well seat comfort ok but nothing special just middle seat empty and a bit more legroom than economy Service was great the food service is tasty Pre lunchdinner drinks served then a full meal Open bar during the flight Lounge in Madrid is great not the one in Fuimucino but it does the job Overall it was a great experience,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Salvador,airport,A Hijmans,2008-05-16,On the whole SSA is everything youd expect a mediumsized airport to be Its spacious well signposted and safe Checkin is usually fast except for charter flights to Europe security is fast and friendly domestic arrival also fast and efficient The one major problem at SSA are the long queues at customs in the afternoon when several international flights arrive pretty much at the same time If you dont carry a Brazilian passport expect to stand in line for over an hour There are just enough shops and food amenities SSA is still thankfully first and foremost an airport not a shopping mall If you are taking a bus from the city centre to the airport or vice versa be aware that traffic in Salvador is horrendous and the journey at peak times will take at least two hours,3.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
La Compagnie,airline,G Isabelle,2019-10-10,I have flown times on La Companie so far and could not be happier It makes me laugh to see complaints about ground accommodations and old planes etc this is an airline that flies to a manageable airport Orly with lower taxes than for example CDG it is a boutique operation with limited flights and proposes business class flights RT for as low as vs on poorer major airlines It is great value for the price and grumpy people can still spend their on a coach ticket booked on United coping with the CDG mess and see if they are offered hot towels full meal champagne and most importantly business class seats with better air quality,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Sunan Pyongyang,airport,Martin Borland,2012-12-28,The airport was not busy when we arrived but this did not stop it taking minutes to pass through immigration and collect bags Facilities are what you expect from an airport about years out of date and did not expect anything different I guess Found the staff to be unfriendly and there were no painted on smiles available here,1.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Male,airport,1 reviewsHarald Faaberg,2021-12-16,We used the airport facilities both for international arrivaldepartures and domestic sea plane The international part was no so bad at all the Covid Clearance was fast and correct luggage arrived within a reasonable time and all worked pretty well Not really first class but not as bad as some reviews should indicated Staff was courteous and friendly The transfer tofrom the sea plane terminal was bumpy literally speaking and luggage handling somewhat chaotic but somehow it worked and with a bit of positive attitude we really found it pretty good and quite amusing The business class lounge was not the most modern and delicate one for sure but had what we needed and was quite comfortable Check in Qatar was very well organized friendly and correct in every way Same for immigration and document control We give the airport good marks not need to worry when going tofrom Maldives,8.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Dresden,airport,Mark Evans,2007-05-08,Little expense has been spared to make DRS a spacious and stateofthe art An allround highly agreeable experience with the added advantage of DRS being very close to the city centre A halfhourly rail service connects DRS with Dresden Hautbahnof a minute journey with several intermediate stops all for a princely EUR oneway fare BA has recently launched an LGWDRS service great views of the heart of the city on the landing approach from the starboard side but the airport remains somewhat underutilised,4.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Colorado Springs,airport,Scott Franks,2016-01-09,Great airport to travel from and return to No great distances to walk easy access to check in counters TSA actually seems to care and think rather than defaulting to lowest level of acceptable service ie Denver Early morning flights are great as the food court has great breakfast burritos and coffee The only problem seems to be the luggage getting from the plane back to you Once you have your bags the rest of the trip out is a breeze,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Berlin Schonefeld,airport,J Wilkin,2020-02-08,The security staff were incredibly slow and seemed to be more interested in personal chats than getting customers through the security process as quickly as possible Why not be more proactive you will get less tension with customers shorter queues and a better job satisfaction You dont need to be unfriendly and impersonal,2.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Rex Airlines,airline,Tom Spinks,2024-06-20,Our team fly weekly and we reckon Rex are the most reliable airline in Aus Boarding is easy flights are on time crew are great WiFi on all flights would seal the deal Yet to be disappointed,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Robert L Bradshaw St Kitts,airport,Andre Franca,2012-03-13,Tiny but well kept airport different design not too many flights but departure lounge seemed chaotic Immigration is friendly but takes a long time a few shops you need to pay attention to the counters to find out where youre going to checkin Overall experience fair,6.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Toronto City Centre,airport,R Gonzaga,2014-08-14,Great little airport used mainly by Porter airlines Check in was efficient and you go down to an airport lounge open to everyone They serve free tea coffee and soft drinks along with cookies and nuts The wifi is free and fast Boarding is effortless and the scenery on take off is stunning The only downside was that when the lounge is busy it gets a little grubby with dishes lying everywhere Otherwise it comes highly recommended,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Anchorage,airport,41 reviewsAnurag Dave,2016-08-01,When I landed in Anchorage late at night the first thing I noticed was how busy the terminal was I was really hungry after a long hour flight from LAX so the first thing I did was grab something to eat from Cinnabon one of many restaurants at this airport Baggage claim experience was smooth Taxi was readily available outside for transportation to hotel While returning back I had a very smooth checkin and security experience If you enjoy watching beautiful scenery and planes Anchorage will not disappoint As you walk around the terminal you will notice many photo opportunities both inside and outside the terminal,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Chattanooga Metropolitan,airport,Jalaal Elasmar,2005-01-17,One of the easiest domestic airports to figure out Just a couple of restaurants but each one has great selection of food Theyve been getting better flights and it is transitioning to more of a transit type airport Staff is scarce but ticket counters are fast to checkin and the security line is real quick minutes at the most I now start my journey to any destination from here,0.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Bahrain,airport,Walter Giaco,2023-11-27,Bahrain Airport is very nice not compare with Kuwait airport that was so awful Bahrain is clean with nice little sofas and comfortable armchairs The staff at the restaurant and the cleaners are courteous and friendly It was a nice experience,8.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Newark,airport,Helen Smith,2024-06-03,I never thought I would find myself reviewing a TSA department but I felt compelled to after my recent positive experience My family and I were unexpectedly transiting through Newark on June We had several mishaps happen beyond our control after an extended travel day hours The TSA department at Newark airport in particular a man named Fontaine helped greatly alleviate our stress and help expedite us through the security line and airport correcting the mistakes of our airline workers I cannot begin to tell you how appreciative I am for their help empathy and services,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Auric Air,airline,38 reviewsPaul Mercer,2020-11-14,There are two options for getting from Dar es Salaam to Zanzibar a twohour ferry journey or a minute flight The main airlines flying this route are Auric Air and Air Tanzania Ordering the ticket via Opodo was easy and the airline operates from Terminal a small building about km from the main terminals Checkin was efficient and the waiting room had several powerful air conditioning units You could even buy food and drink Tickets were checked and we were walked across to the Cessna It had three seats in each row and although tight it was not uncomfortable It only had a pilot and we flew at about feet giving us a clear view of the sea and then the island It ended with a very smooth landing close to the terminal,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Okinawa Naha,airport,19 reviewsFrancis Wong,2020-01-09,Naha airport has undergone some renovation and expansion it keeps improving each time I go there Being a small airport arrival is easy and luggage waiting time is not too long customs are also friendly and easy to pass through There is a major improvement in checkin areas for international flights and some domestic Used to be in a cramped little area now its a lot more spacious There is also a big improvement in food offering before immigration Once passed international immigration you will be left with very little choice I believe they are still undergoing some major facelifts for the departure gate areas maybe more stores will be added soon Overall this is a charming little regional airport which is easy to move around,7.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Jazz,airline,Steve Parkin,2015-11-02,Short hour hop from Vancouver to Castlegar and all good The plane looks tiny on the ground but the ride was smooth and on time Not much time for more than a swift Sprite and pretzels before we made the descent This landing is one which all Air Canada pilots practice over and over on the simulator as it is apparently one of the most challenging in Canada Not bad on a sunny day such as we travelled but I am sure on a wet evening it would be quite a tricky path through the mountains Also advised that the route can get cancelled for days at a time due to fog No such problems for us as flights out and back were fine Great to arrive at an airport and your bag is there in literally minutes Give this route a go but make sure to check the Castlegar weather first,9.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Rex Airlines,airline,Tom Spinks,2024-06-20,Our team fly weekly and we reckon Rex are the most reliable airline in Aus Boarding is easy flights are on time crew are great WiFi on all flights would seal the deal Yet to be disappointed,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Gothenburg City,airport,James Williamson,2010-10-30,Have used this airport twice in the last year and found it very smooth From plane arriving at terminal only ten minutes to clear border control collect bags and exit airport Bus to Gothenburg outside terminal to meet each flight and in to city in about minutes quicker than from the main Gothenburg airport Adequate facilities in airport and an outside area airside for smokers to sit in the sun with a drink,5.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Sukhothai,airport,James Klakayan,2010-06-14,Sukhothai Airport owned by Bangkok Boutique Airlines is a great little secret gem not to be missed Due to its size you feel like a celebrity A flower festooned approach greeted by security officers in their shorts and old colonial hats checking in outdoors the open feel the gardens water dripping from the roof to keep customers cool The check in staff all line up and wai you to send you off and the ground staff at the aircraft do the same Priority boarding for monks of course Exotic and fabulous with the usual Bangkok Airlines free drinks and snacks,5.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Orient Thai Airlines,airline,M Sun,2012-11-01,HKGBKK I booked with them because it was the only airline available Check in took hr in HKG and plane was a year old B Entertainment was pretty much nothing and seats were the most uncomfortable Ive ever experienced Plane and bathroom were unclean I booked a seat in the upper deck and it was quiet Food was horrible Only good thing was the value because I you pretty much get everything for that cheap price,3.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Okinawa Naha,airport,19 reviewsFrancis Wong,2019-04-27,It was years ago I used this airport and wow so much has changed The check in on nd level had moved to a much more spacious rd level It made the experience totally different in a positive way No longer does it feel cramped Staff are friendly and signage are very clear The only thing that still need improving is the variety of shops available air side and food options It is still pretty basic at this stage With more and more airlines flying to OKA they can be more ambitious and open up more shops and restaurants to cater for us,8.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Lugano,airport,Riccardo Cerutti,2008-02-25,LuganoAgno is a little airport maybe the smallest in Switzerland but I think its the most efficient Its commercial says Youll be in the air in minutes and its the truth I think its a great airport,4.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Philippine Airlines,airline,24 reviewsC Balsen,2025-02-02,Morning flight on PR from Daraga to Manila I have international connection in a separate booking booking but check in agent made it sure my luggage was checked through to my final destination which was so much appreciated as it saved me time and effort at Manila Airport Flight was smooth and on time Ticket price was reasonable,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Olbia Costa Smeralda,airport,John Howson,2008-06-09,This is a smashing little airport friendly well laid out and very well run Because of its location very attractive to fly in and out of too always a big shock returning to Gatwick Good ice cream too,5.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Philippine Airlines,airline,24 reviewsC Halsen,2025-01-09,Manila to Legazpi DRP on Christmas Day Flight was full but went smooth Checkin was a breeze Mabuhay Lounge food was OK though I was hoping for some extra flare on this special day Wasnt a problem though Flight took off slightly ahead of schedule Bags first to arrive at DRP due to Elite status Ticket price was reasonable for this season,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Antwerp Deurne,airport,Michael Newport,2005-08-16,Great airport not many flights so no hassle From check in to take off minutes Car parking also free,0.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Colombo,airport,Patrick Gold,2023-06-06,Frequented CMB many times in the last decade and on the whole its ok It runs pretty smoothly and in fact has improved over the years the immigration particularly seems quicker I do however hate the exorbitant dollar priced fooddrink and duty free etc The contrast between what this cost just outside the door or the airport and the terminal prices must be one of the biggest contrasts in the world That said its a pretty painless experience to pass through,8.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
